       Quick Sort                                     BubbleSort                                 BST
n      av               av/n      av/n*n  av/nlog(n)  av          av/n       av/n*n  av/nlog(n)  av          av/n     av/n*n  av/nlog(n)  
7300   110706.80007300   15.1653   0.0021   1.1817   26635254.2667   3648.6650   0.4998   284.3039   109414.4000   14.9883   0.0021   1.1679
7400   110493.36677400   14.9315   0.0020   1.1617   27368560.2333   3698.4541   0.4998   287.7433   110054.9000   14.8723   0.0020   1.1571
7500   113217.50007500   15.0957   0.0020   1.1727   28114585.1667   3748.6114   0.4998   291.2069   112666.2667   15.0222   0.0020   1.1670
7600   114371.33337600   15.0489   0.0020   1.1673   28869799.8000   3798.6579   0.4998   294.6573   114389.0000   15.0512   0.0020   1.1675
7700   115990.06677700   15.0636   0.0020   1.1668   29634732.0667   3848.6665   0.4998   298.1003   115553.3667   15.0069   0.0019   1.1624
7800   118461.20007800   15.1873   0.0019   1.1746   30409043.3667   3898.5953   0.4998   301.5328   119417.4667   15.3099   0.0020   1.1841
7900   119838.20007900   15.1694   0.0019   1.1716   31193345.8333   3948.5248   0.4998   304.9610   119493.6333   15.1258   0.0019   1.1682
8000   121085.70008000   15.1357   0.0019   1.1674   31988360.2667   3998.5450   0.4998   308.3921   121076.2333   15.1345   0.0019   1.1673
8100   122883.13338100   15.1708   0.0019   1.1684   32791807.4000   4048.3713   0.4998   311.8040   124709.9667   15.3963   0.0019   1.1858
8200   123296.70008200   15.0362   0.0018   1.1565   33606409.8667   4098.3427   0.4998   315.2230   123157.3000   15.0192   0.0018   1.1552
8300   128207.90008300   15.4467   0.0019   1.1865   34432074.8667   4148.4428   0.4998   318.6478   127077.7333   15.3106   0.0018   1.1760
8400   127112.00008400   15.1324   0.0018   1.1608   35269306.4667   4198.7270   0.4998   322.0828   127875.7667   15.2233   0.0018   1.1678
8500   129054.10008500   15.1828   0.0018   1.1631   36113543.7000   4248.6522   0.4998   325.4862   129563.7333   15.2428   0.0018   1.1677
8600   131744.00008600   15.3191   0.0018   1.1721   36965449.0333   4298.3080   0.4998   328.8652   132597.9667   15.4184   0.0018   1.1797
8700   131847.60008700   15.1549   0.0017   1.1580   37830911.6000   4348.3806   0.4998   332.2723   132068.8000   15.1803   0.0017   1.1600
8800   134502.80008800   15.2844   0.0017   1.1665   38706550.9667   4398.4717   0.4998   335.6770   134091.4000   15.2377   0.0017   1.1629
8900   137661.56678900   15.4676   0.0017   1.1790   39591341.7667   4448.4654   0.4998   339.0705   137692.9333   15.4711   0.0017   1.1792
9000   139307.10009000   15.4786   0.0017   1.1784   40486462.0333   4498.4958   0.4998   342.4631   139292.6667   15.4770   0.0017   1.1782
9100   138740.56679100   15.2462   0.0017   1.1593   41391515.1333   4548.5181   0.4998   345.8515   139342.7000   15.3124   0.0017   1.1643
9200   141470.13339200   15.3772   0.0017   1.1678   42303957.0000   4598.2562   0.4998   349.2147   142319.5000   15.4695   0.0017   1.1748
9300   144357.60009300   15.5223   0.0017   1.1774   43234689.6667   4648.8914   0.4999   352.6425   143736.9667   15.4556   0.0017   1.1724
9400   145132.60009400   15.4396   0.0016   1.1698   44168013.1333   4698.7248   0.4999   356.0059   145127.0333   15.4390   0.0016   1.1698
9500   146746.23339500   15.4470   0.0016   1.1690   45112830.6667   4748.7190   0.4999   359.3781   147069.2000   15.4810   0.0016   1.1716
9600   149890.23339600   15.6136   0.0016   1.1803   46066964.2000   4798.6421   0.4999   362.7415   150722.3667   15.7002   0.0016   1.1868
9700   148687.66679700   15.3286   0.0016   1.1574   47027399.0667   4848.1855   0.4998   366.0729   147853.5333   15.2426   0.0016   1.1509
9800   152845.03339800   15.5964   0.0016   1.1763   48003121.7667   4898.2777   0.4998   369.4425   152141.1667   15.5246   0.0016   1.1709
9900   153456.26679900   15.5006   0.0016   1.1678   48990484.1000   4948.5337   0.4999   372.8211   153452.4000   15.5002   0.0016   1.1678
10000   156098.300010000   15.6098   0.0016   1.1748   49985271.2667   4998.5271   0.4999   376.1766   154513.1667   15.4513   0.0015   1.1628
